drugbank_id	atc
DB00620	D07XB02
DB00620	S02CA04
DB00620	C05AA12
DB00621	A14AA08
DB00622	C08CA04
DB00623	N05AB02
DB00624	G03BA03
DB00624	G03EA02
DB00625	J05AR06
DB00625	J05AG03
DB00625	J05AR11
DB00626	J01XX10
DB00626	D06AX05
DB00626	R02AB04
DB00627	C10AD02
DB00627	C10AD52
DB00627	C10BA01
DB00627	C04AC01
DB00628	N05BA05
DB00629	C04AC01
DB00630	M05BB03
DB00630	M05BA04
DB00630	M05BB06
DB00630	M05BB05
DB00631	L01BB06
DB00632	D06BB11
DB00633	N05CM18
DB00634	D10AF06
DB00634	S01AB04
DB00634	G01AE10
DB00635	A07EA03
DB00635	H02AB07
DB00636	C10AB01
DB00637	R06AX11
DB00638	V04CH01
DB00639	G01AF20
DB00639	G01AF15
DB00640	C01EB10
DB00641	A10BH51
DB00641	C10AA01
DB00641	C10BX04
DB00641	C10BA02
DB00641	C10BX01
DB00641	C10BA04
DB00642	L01BA04
DB00643	P02CA51
DB00643	P02CA01
DB00644	V04CM01
DB00644	H01CA01
DB00645	N01BX02
DB00645	R02AD04
DB00646	D01AA01
DB00646	G01AA01
DB00646	A07AA02
DB00646	G01AA51
DB00647	N02AC04
DB00647	N02AC54
DB00647	N02AC74
DB00648	L01XX23
DB00649	J05AF04
DB00649	J05AR07
DB00650	V03AF06
DB00650	V03AF03
DB00651	R03DA20
DB00651	R03DB01
DB00651	R03DA51
DB00651	R03DA01
DB00652	N02AD01
DB00653	A06AD04
DB00653	V04CC02
DB00653	D11AX05
DB00653	B05XA05
DB00653	A12CC02
DB00654	S01EE01
DB00654	S01EE51
DB00655	G03CC04
DB00655	G03CA07
DB00656	N06AX05
DB00657	C02BB01
DB00658	V03AE02
DB00659	N07BB03
DB00660	G03CA07
DB00661	C09BB10
DB00661	C08DA51
DB00661	C08DA01
DB00662	R06AA10
DB00663	D07AB03
DB00663	D07BB01
DB00663	S02CA02
DB00663	D07CB05
DB00663	D07XB01
DB00664	G01AE10
DB00664	J01ED02
DB00664	P01BF04
DB00665	L02BB02
DB00666	H01CA02
DB00668	A01AD01
DB00668	R03AK01
DB00668	B02BC09
DB00668	C01CA24
DB00668	S01EA01
DB00668	R01AA14
DB00668	R03AA01
DB00668	S01EA51
DB00669	N02CC01
DB00669	G01AE10
DB00670	A02BX03
DB00671	J01DD08
DB00671	J01RA15
DB00672	A10BB02
DB00673	A04AD12
DB00674	N06DA04
DB00675	L02BA01
DB00676	P03AX01
